Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 240, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.427
Training Epoch 241, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.522
Training Epoch 242, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.427
Training Epoch 243, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.522
Training Epoch 244, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.426
Training Epoch 245, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.522
Training Epoch 246, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.425
Training Epoch 247, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.521
Training Epoch 248, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.425
Training Epoch 249, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.521
Training Epoch 250, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.424
Training Epoch 251, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.521
Training Epoch 252, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.423
Training Epoch 253, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.521
Training Epoch 254, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.423
Training Epoch 255, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.520
Training Epoch 256, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.422
Training Epoch 257, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.520
Training Epoch 258, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.421
Training Epoch 259, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.520
Training Epoch 260, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.421
Training Epoch 261, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.520
Training Epoch 262, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.420
Training Epoch 263, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.520
Training Epoch 264, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.419
Training Epoch 265, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.520
Training Epoch 266, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.419
