Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 130, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.845
Training Epoch 131, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.943
Training Epoch 132, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.925
Training Epoch 133, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.933
Training Epoch 134, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.848
Training Epoch 135, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.833
Training Epoch 136, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.932
Training Epoch 137, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.913
Training Epoch 138, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.922
Training Epoch 139, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.836
Training Epoch 140, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.819
Training Epoch 141, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.921
Training Epoch 142, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.902
Training Epoch 143, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.911
Training Epoch 144, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.824
Training Epoch 145, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.806
Training Epoch 146, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.909
Training Epoch 147, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.890
Training Epoch 148, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.899
